код;;ПРАЙС 01.10.2020;Количество;Гарантия;"Рекомендуемая
 розничная
 цена";Цена!
63748;;"Сумка для ноутбука 15.6"" Defender Lite (26083) (сумка для ноутбука 15.6"", полиэстер, цвет черный)";;3;;4,8
70732;;"Сумка для ноутбука 15.6"" Samsonite Pro-DLX 3 (V84*015)";;0;;45
20830;;"Сумка для ноутбука 16"" Defender Ascetic (26019) (для ноутбука 16"", нейлон, цвет черный)";;3;;9,5
20845;;"Сумка для ноутбука 16"" Defender Iota (26007) (полиэстер, чёрная, 15-16"")";;3;;8,6
62741;;"Сумка для ноутбука Defender Geek 15.6"" (цвет черный, карман) (26084)";;3;;8,6
50269;;"Сумка для ноутбука Defender Monte 17'' (26065) (сумка для ноутбука 17.3"", полиэстер, цвет черный)";;3;;10,2
70731;;"Чехол Apple Smart Folio для iPad Pro 12.9"" (MRXD2) Цвет: Угольно-серый";;0;;84
;Теплоотводящие подставки для ноутбуков;;;;;
60960;;"Теплоотводящая подставка под ноутбук CROWN CMLC-1001 silver&blue (до 15,6""  , материал металл Вес 530 г Размер 331* 264*43 мм)";;3;;11,6
8903;;"Теплоотводящая подставка под ноутбук DeepCool MULTI CORE X6 (DP-N422-MCX6) (15.6"", 2x100мм+2x140мм вентилятор, 2xUSB, Black) RTL";;3;;18,5
17643;;"Теплоотводящая подставка под ноутбук DeepCool N1 Black (DP-N112-N1BK) (до 15,6"", cупертонкая- 2,6см, 180мм вентилятор, черная) RTL";;3;;14
70570;;"Теплоотводящая подставка под ноутбук DEEPCOOL WIND PAL FS black (до 17"",Супертонкий 2,4см, 2хUSB, 2x140мм вентилятор, регулятор скор-ти, черный) Retail";;3;;15
33379;;Теплоотводящая подставка под ноутбук Deepcool WIND PAL MINI (DP-N114L-WDMI) (21.6дБ, 1000об/мин, USB питание);;0;;8,9
;Процессоры;;;;;
;Socket-1151;;;;;
33675;;Процессор BOX Socket-1151 Intel Core i3-6320 2C/4T 3.9GHz 4MB 51W Intel UHD 530 ;;24;;75
49859;;Процессор Socket-1151 Intel Core i3-7350K 2C/4T 4.2GHz 4Mb 60W oem;;12;;94
48693;;Процессор Socket-1151 Intel Core i5-7400 4C/4T 3/3.5GHz 6MB 65W oem;;12;;165
;Socket-1151 v2;;;;;
68036;;Процессор  BOX Socket-1151 Intel Celeron G4930 2C/2T 3.2GHz 2MB 54W Intel UHD 610 ;;36;;35,3
58692;;Процессор  BOX Socket-1151 Intel Core i3-8100 4C/4T 3.6GHz 6MB 65W Intel UHD 630 ;;36;;106,5
58641;;Процессор  BOX Socket-1151 Intel Core i3-8350K 4C/4T 4GHz 8MB 91W Intel UHD 630 (без кулера);;36;;129
67470;;Процессор BOX Socket-1151 Intel Core i3-9100 4C/4T 3.6GHz/4.2GHz 6MB 65W Intel UHD 630 ;;36;;103,4
65357;;Процессор BOX Socket-1151 Intel Core i3-9100F 4C/4T 3.6GHz/4.2GHz 6MB 65W  (Без видео);;36;;74,6
65786;;Процессор BOX Socket-1151 Intel Core i5-9400 6C/6T 2.9GHz/4.1GHz 9MB 65W Intel UHD 630 ;;36;;168,5
64203;;Процессор BOX Socket-1151 Intel Core i5-9400F 6C/6T 2.9GHz/4.1GHz 9MB 65W (Без видео);;36;;142
66057;;Процессор BOX Socket-1151 Intel Core i5-9500 3.0/4.4 GHz/6core/SVGA UHD Graphics 630/1.5+9Mb/65W;;36;;200
69519;;Процессор BOX Socket-1151 Intel Core i5-9500F 6C/6T 3GHz/4.4GHz 9MB 65W (Без видео);;36;;169,5
63587;;Процессор BOX Socket-1151 Intel Core i5-9600K 6C/6T 3.7GHz/4.6GHz 9MB 95W Intel UHD 630 (без кулера);;36;;224,5
66632;;Процессор BOX Socket-1151 Intel Core i5-9600KF 6C/6T 3.7GHz/4.6GHz 9MB 95W (без кулера) (Без видео);;36;;193,5
65789;;Процессор BOX Socket-1151 Intel Core i7-9700 8C/8T 3GHz/4.7GHz 12MB 65W Intel UHD 630;;36;;305
65761;;Процессор BOX Socket-1151 Intel Core i7-9700F 8C/8T 3GHz/4.7GHz 12MB 65W (Без ВИДЕО);;36;;294
63586;;Процессор BOX Socket-1151 Intel Core i7-9700K 8C/8T 3GHz/4.7GHz 12MB 65W Intel UHD 630 (без кулера);;36;;350
65033;;Процессор BOX Socket-1151 Intel Core i7-9700KF 3.6/4.9 GHz/8core/12Mb/95W (без кулера) (Без ВИДЕО);;36;;340
66693;;Процессор BOX Socket-1151 Intel Core i9-9900 8C/16T 3.1GHz/5GHz 16MB 65W Intel UHD 630 ;;36;;385
63148;;Процессор BOX Socket-1151 Intel Core i9-9900K 8C/16T 3.1GHz/5GHz 16MB 65W Intel UHD 630 (без кулера);;36;;425
61169;;Процессор BOX Socket-1151 Intel Pentium G5400 2C/4T 3.7GHz 4MB 58W Intel UHD 610;;36;;52
66296;;Процессор BOX Socket-1151 Intel Pentium G5420 2C/4T 3.8GHz 4MB 54W Intel UHD 610;;36;;52,7
67028;;Процессор BOX Socket-1151 Intel Pentium G5600F 2C/4T 3.9GHz 4MB 54W (Без Видео);;36;;44
58220;;Процессор Socket-1151 Intel Core i3-8100 4C/4T 3.6GHz 6MB 65W oem;;12;;103
65330;;Процессор Socket-1151 Intel Core i3-9100F 4C/4T 3.6/4.9GHz 6MB 65W   (Без ВИДЕО) oem;;12;;69
58221;;Процессор Socket-1151 Intel Core i5-8400 6C/6T 2.8/4GHz 8MB 65W oem;;12;;161
65652;;Процессор Socket-1151 Intel Core i5-9400 6C/6T 2.9/4.1GHz 9MB 65W oem;;12;;155,9
64623;;Процессор Socket-1151 Intel Core i5-9400F 6C/6T 2.9/4.1GHz 9MB 65W (Без ВИДЕО) oem;;12;;134
65896;;Процессор Socket-1151 Intel Core i5-9500 6C/6T 3/4.4GHz 9MB 65W oem;;12;;174
65497;;Процессор Socket-1151 Intel Core i5-9500F 6C/6T 3/4.4GHz 9MB 65W (Без ВИДЕО) oem;;12;;159
65897;;Процессор Socket-1151 Intel Core i5-9600 6C/6T 3.1/4.6GHz 9MB 65W oem;;12;;205
62830;;Процессор Socket-1151 Intel Core i5-9600K 6C/6T 3.7/4.6GHz 9MB 95W oem;;12;;208
66399;;Процессор Socket-1151 Intel Core i5-9600KF 6C/6T 3.7/4.6GHz 9MB 95W (Без ВИДЕО) oem;;12;;177
58223;;Процессор Socket-1151 Intel Core i7-8700 6C/12T 3.2/4.6GHz 12MB 65W oem;;12;;299,5
65653;;Процессор Socket-1151 Intel Core i7-9700 8C/8T 3/4.7GHz 12MB 65W oem;;12;;300
65760;;Процессор Socket-1151 Intel Core i7-9700F 8C/8T 3/4.7GHz 12MB 65W (Без ВИДЕО) oem;;12;;290
63113;;Процессор Socket-1151 Intel Core i7-9700K 8C/8T 3.6/4.9GHz 12MB 95W oem;;12;;339
66512;;Процессор Socket-1151 Intel Core i7-9700KF 8C/8T 3.6/4.9GHz 12MB 95W (Без ВИДЕО) oem;;12;;326,5
67581;;Процессор Socket-1151 Intel Core i9-9900 8C/16T 3.1/5GHz 16MB 65W oem;;12;;380
63002;;Процессор Socket-1151 Intel Core i9-9900K 8C/16T 3.6/5GHz 16MB 95W oem;;12;;420
66400;;Процессор Socket-1151 Intel Core i9-9900KF 8C/16T 3.6/5GHz 16MB 95W (Без ВИДЕО) oem;;12;;407
68346;;Процессор Socket-1151 Intel Pentium G5420 2C/4T 3.8GHz 4MB 54W oem;;12;;50,5
;Socket-1200;;;;;
70420;;Процессор BOX Socket-1200 Intel Celeron G5900 2C/2T 3.4GHz 2MB 58W Intel UHD 610 ;;36;;36
70293;;Процессор BOX Socket-1200 Intel Celeron G5920 2C/2T 3.5GHz 2MB 58W Intel UHD 610 ;;36;;43
69626;;Процессор BOX Socket-1200 Intel Core i3-10100 4C/8T 2.9/4.3GHz 6MB 65W Intel UHD 630 ;;36;;124,3
69613;;Процессор BOX Socket-1200 Intel Core i5-10400 6C/12T 2.9/4.3GHz 12Mb 65W Intel UHD 630;;36;;188
70292;;Процессор BOX Socket-1200 Intel Core i5-10400F 6C/12T 2.9/4.3GHz 12MB 65W (Без ВИДЕО);;12;;160
69614;;Процессор BOX Socket-1200 Intel Core i5-10500 6C/12T 3.1/4.5GHz 12Mb 65W Intel UHD 630;;36;;218
69665;;Процессор BOX Socket-1200 Intel Core i5-10600 6C/12T 3.3/4.8GHz 12MB 65W Intel UHD 630;;12;;240
70443;;Процессор BOX Socket-1200 Intel Core i5-10600K  6C/212T 4.1/4.8GHz 12MB 95W Intel UHD 630 (без кулера) ;;36;;285
70948;;Процессор BOX Socket-1200 Intel Core i5-10600KA  6C/212T 4.1/4.8GHz 12MB 95W Intel UHD 630 (без кулера) Marvel Avengers;;36;;285
69615;;Процессор BOX Socket-1200 Intel Core i7-10700 8C/16T 2.9/4.8GHz 16MB 65W Intel UHD 630;;36;;365
70325;;Процессор BOX Socket-1200 Intel Core i7-10700F 8C/16T 2.9/4.8GHz 16MB 65W (Без ВИДЕО);;36;;335
69655;;Процессор BOX Socket-1200 Intel Core i7-10700K  8C/16T 3.8/5.1GHz 16MB 125W Intel UHD 630 (без кулера) ;;36;;410
70949;;Процессор BOX Socket-1200 Intel Core i7-10700KA  8C/16T 3.8/5.1GHz 16MB 125W Intel UHD 630 (без кулера) Marvel Avengers;;36;;410
70592;;Процессор BOX Socket-1200 Intel Core i7-10700KF  8C/16T 3.8/5.1GHz 16MB 125W Intel UHD 630 (без кулера) (Без ВИДЕО);;36;;390
70821;;Процессор BOX Socket-1200 Intel Core i9-10850KA  10C/20T 3.6/5.2GHz 20MB 125W Intel UHD 630 (без кулера) Marvel Avengers;;36;;500
70651;;Процессор BOX Socket-1200 Intel Core i9-10900  10C/20T 2.8/5.2GHz 20MB 125W Intel UHD 630 ;;36;;481
71113;;Процессор BOX Socket-1200 Intel Core i9-10900F  10C/20T 2.8/5.2GHz 20MB 65W (Без ВИДЕО);;12;;460
70799;;Процессор BOX Socket-1200 Intel Core i9-10900KA  10C/20T 3.3/5.3GHz 20MB 125W Intel UHD 630 (без кулера) Marvel Avengers;;36;;545
70445;;Процессор BOX Socket-1200 Intel Pentium G6400 2C/4T 4.0GHz 4MB 58W Intel UHD 610;;36;;60
70599;;Процессор Socket-1200 Intel Core i3-10100 4C/8T 2.9/4.3GHz 6MB 65W Intel UHD 630 (oem);;36;;113
69535;;Процессор Socket-1200 Intel Core i5-10400 6C/12T 2.9/4.3GHz 12MB 65W Intel UHD 630 (oem);;12;;182
69718;;Процессор Socket-1200 Intel Core i5-10400F 6C/12T 2.9/4.3GHz 12MB 65W (Без ВИДЕО) oem;;12;;158
69534;;Процессор Socket-1200 Intel Core i5-10500 6C/12T 3.1/4.4GHz 12MB 65W Intel UHD 630 (oem);;12;;209
69536;;Процессор Socket-1200 Intel Core i5-10600 6C/12T 3.3/4.8GHz 12MB 65W Intel UHD 630 (oem);;12;;235
69660;;Процессор Socket-1200 Intel Core i5-10600K  6C/12T 4.1/4.8GHz 12MB 95W Intel UHD 630 (oem);;12;;277
71112;;Процессор Socket-1200 Intel Core i5-10600KF  6C/12T 4.1/4.8GHz 12MB 95W Intel UHD 630 (Без ВИДЕО) (oem);;12;;257
69659;;Процессор Socket-1200 Intel Core i7-10700 8C/16T 2.9/4.8GHz 16MB 65W Intel UHD 630 (oem);;12;;326,5
70326;;Процессор Socket-1200 Intel Core i7-10700F 8C/16T 2.9/4.8GHz 16MB 65W (Без ВИДЕО) oem;;12;;320
69656;;Процессор Socket-1200 Intel Core i7-10700K  8C/16T 3.8/5.1GHz 16MB 125W Intel UHD 630 (oem);;12;;394
70744;;Процессор Socket-1200 Intel Core i7-10700KF  8C/16T 3.8/5.1GHz 16MB 125W Intel UHD 630 (Без ВИДЕО) oem;;12;;374
69657;;Процессор Socket-1200 Intel Core i9-10900  10C/20T 2.8/5.2GHz 20MB 65W Intel UHD 630 (oem);;12;;471
70245;;Процессор Socket-1200 Intel Core i9-10900F  10C/20T 2.8/5.2GHz 20MB 65W (Без ВИДЕО) oem;;12;;460
69658;;Процессор Socket-1200 Intel Core i9-10900K  10C/20T 3.7/5.3GHz 20MB 125W Intel UHD 630 (oem);;12;;532
70590;;Процессор Socket-1200 Intel Core i9-10900KF  10C/20T 3.3/5.3GHz 20MB 125W (Без ВИДЕО) oem;;36;;515
;Socket-2066;;;;;
68372;;Процессор BOX Socket-2066 Intel Core i9-10900X 10C/20T 3.7GHz-4.5GHz 19.25MB 165W (без кулера);;36;;660
69538;;Процессор BOX Socket-2066 Intel Core i9-10920X 12C/24T 3.5GHz-4.8GHz 19.25MB 165W (без кулера);;36;;830
69539;;Процессор BOX Socket-2066 Intel Core i9-10940X 14C/28T 3.4GHz-4.8GHz 19.25MB 165W (без кулера);;36;;915
64356;;Процессор BOX Socket-2066 Intel Core i9-9820X 10C/20T 3.3GHz-4.2GHz 19.25MB 165W (без кулера);;36;;700
65363;;Процессор BOX Socket-2066 Intel Core i9-9940X 14C/28T 3.3GHz-4.5GHz 19.25MB 165W (без кулера);;36;;925
;Socket-AM4;;;;;
58297;;Процессор BOX Socket-AM4 AMD A6-9500 (AD9500AGABBOX) 3.5 GHz/2core/SVGA RADEON R5/1Mb/65W;;36;;33,2
57471;;Процессор BOX Socket-AM4 AMD A8-9600 (AD9600AGABBOX) 3.1 GHz/4core/SVGA RADEON R7/2 Mb/65W;;36;;41
67550;;Процессор BOX Socket-AM4 AMD Athlon 3000G (YD3000C6FHBOX) 3.5 GHz/core 2/4 1+4Mb/35W/Vega 3 Graphics;;36;;47,9
60639;;Процессор BOX Socket-AM4 AMD Ryzen 3 2200G (YD2200C5FBBOX) (3.5GHz / Radeon Vega);;36;;95
69612;;Процессор BOX Socket-AM4 AMD Ryzen 3 3100 (100-100000284BOX) 4C/8T 3.9/3.6GHz 2+16MB 65W with Wraith Stealth cooler;;36;;107
65746;;Процессор BOX Socket-AM4 AMD Ryzen 3 3200G (YD3200C5FHBOX) (3.6GHz / Radeon Vega8);;36;;100
69611;;Процессор BOX Socket-AM4 AMD Ryzen 3 3300X (100-100000159BOX) 4C/8T 4.3/3.8GHz 2+16MB 65W with Wraith Stealth cooler;;36;;131
66884;;Процессор BOX Socket-AM4 AMD Ryzen 5 1600 (YD1600BBAFBOX) 3.2 GHz/6/12core/3+16Mb/65W;;36;;105
61268;;Процессор BOX Socket-AM4 AMD Ryzen 5 2600 (YD2600BBAFBOX) 3.9/3.4 GHz/6core/3+16Mb/65W with Wraith Stealth cooler;;36;;121
71067;;Процессор BOX Socket-AM4 AMD Ryzen 5 3500X (100-100000158BOX) 4.1/3.6 GHz/6core/3+16Mb/65W  with Wraith Stealth cooler;;12;;139
65771;;Процессор BOX Socket-AM4 AMD Ryzen 5 3600 (100-100000031BOX) 4.2/3.6 GHz/6core/3+32Mb/65W with Wraith Stealth cooler;;36;;200
65931;;Процессор BOX Socket-AM4 AMD Ryzen 5 3600X (100-100000022BOX) 4.4/3.8 GHz/6core/3+32Mb/95W with Wraith Stealth cooler;;36;;215
70328;;Процессор BOX Socket-AM4 AMD Ryzen 5 3600XT (100-100000281BOX) 4.5/3.8 GHz/6core/3+32Mb/95W with Wraith Spire cooler;;36;;263
65747;;Процессор BOX Socket-AM4 AMD Ryzen 5 3400G (YD3400C5FHBOX) (3.7GHz / Radeon Vega11);;36;;148
65928;;Процессор BOX Socket-AM4 AMD Ryzen 7 3700X (100-100000071BOX) 4.4/3.6 GHz/8core/4+32Mb/65W with Wraith Prism cooler;;36;;330
65930;;Процессор BOX Socket-AM4 AMD Ryzen 7 3800X (100-100000025BOX) 4.5/3.9 GHz/8core/4+32Mb/105W with Wraith Prism cooler;;36;;350
70386;;Процессор BOX Socket-AM4 AMD Ryzen 7 3800XT (100-100000279WOF) 4.7/3.9 GHz/8core/4+32Mb/105W (без кулера);;36;;425,5
65929;;Процессор BOX Socket-AM4 AMD Ryzen 9 3900X (100-100000023BOX) 4.6/3.8 GHz/12core/4+64Mb/105W with Wraith Prism cooler;;36;;475
70387;;Процессор BOX Socket-AM4 AMD Ryzen 9 3900XT (100-100000277WOF) 4.7/3.8 GHz/12core/4+64Mb/105W (без кулера);;36;;540
67271;;Процессор BOX Socket-AM4 AMD Ryzen 9 3950X (100-100000051WOF) 4.7/3.5 GHz/16core/8+64Mb/105W (без кулера);;36;;805
56896;;Процессор Socket-AM4 AMD A10-9700 (AD9700AGM44AB) 3.5 GHz/4core/SVGA RADEON R7/2 Mb/65W oem;;11;;42,5
56897;;Процессор Socket-AM4 AMD A8-9600 (AD9600AGM44AB) 3.1 GHz/4core/SVGA RADEON R7/2 Mb/65W (oem);;12;;31,5
64439;;Процессор Socket-AM4 AMD Athlon 200GE (YD200GC6M2OFB) 3.2 GHz/core 2/4 1+4Mb/35W/Vega 3 Graphics  oem;;12;;34,5
71064;;Процессор Socket-AM4 AMD Athlon 3000G (YD3000C6FHMPK) 3.5 GHz/core 2/4 1+4Mb/35W/Vega 3 Graphics мультипак + Wraith Stealth cooler;;12;;48
67889;;Процессор Socket-AM4 AMD Athlon 3000G (YD3000C6M2OFH) 3.5 GHz/core 2/4 1+4Mb/35W/Vega 3 Graphics (oem);;12;;45
69883;;Процессор Socket-AM4 AMD Ryzen 3 3100 (100-000000284) 4C/8T 3.9/3.6GHz 2+16MB 65W oem;;36;;102
70640;;Процессор Socket-AM4 AMD Ryzen 3 3100 (100-100000284MPK) 4C/8T 3.9/3.6GHz 2+16MB 65W мультипак + Wraith Stealth cooler;;36;;102
66268;;Процессор Socket-AM4 AMD Ryzen 3 3200G (YD3200C5M4MFH) (3.6GHz / Radeon Vega8) oem;;12;;96
70389;;Процессор Socket-AM4 AMD Ryzen 3 PRO 3200G (YD320BC5M4MFH) (3.6GHz / Radeon Vega8) oem;;12;;94
70418;;Процессор Socket-AM4 AMD Ryzen 3 PRO 4350G (100-100000148MPK) 4.0/3.8 GHz/4core/2+4Mb/65W мультипак + Wraith Stealth cooler;;36;;155
67839;;Процессор Socket-AM4 AMD Ryzen 5 1600 (YD1600BBM6IAF) 3.2 GHz/6core/3+16Mb/65W Socket AM4 oem;;12;;100
64548;;Процессор Socket-AM4 AMD Ryzen 5 2600X (YD260XBCM6IAF) 4.2/3.6 GHz/6core/3+16Mb/95W oem;;12;;139,5
71066;;Процессор Socket-AM4 AMD Ryzen 5 3500 (100-100000050MPK) 4.1/3.6 GHz/6core/3+16Mb/65W мультипак + Wraith Stealth cooler;;12;;135
69159;;Процессор Socket-AM4 AMD Ryzen 5 3500X (100-000000158) 4.1/3.6 GHz/6core/3+16Mb/65W oem;;12;;139
65955;;Процессор Socket-AM4 AMD Ryzen 5 3600 (100-000000031) 4.2/3.6 GHz/6core/3+32Mb/65W oem;;12;;188
66478;;Процессор Socket-AM4 AMD Ryzen 5 3600 (100-100000031MPK) 4.2/3.6 GHz/6core/3+32Mb/65W мультипак + Wraith Stealth cooler;;12;;192
65956;;Процессор Socket-AM4 AMD Ryzen 5 3600X (100-000000022) 4.4/3.8 GHz/6core/3+32Mb/95W oem;;12;;194
70417;;Процессор Socket-AM4 AMD Ryzen 5 PRO 4650G (100-100000143MPK) 4.3/3.7 GHz/6core/3+8Mb/65W мультипак + Wraith Stealth cooler;;36;;200
67549;;Процессор Socket-AM4 AMD Ryzen 5 3400G (YD3400C5FHMPK) (3.7GHz / Radeon Vega11) мультипак + Wraith Stealth cooler;;36;;137
66267;;Процессор Socket-AM4 AMD Ryzen 5 3400G (YD3400C5M4MFH) (3.7GHz / Radeon Vega11) oem;;12;;132
69116;;Процессор Socket-AM4 AMD Ryzen 5 PRO 3400G (YD340BC5FHMPK) (3.7GHz / Radeon Vega11) мультипак + Wraith Spire cooler;;36;;137
63889;;Процессор Socket-AM4 AMD Ryzen 7 2700 (YD2700BBM88AF) 4.1/3.2 GHz/8core/4+16Mb/65W oem;;12;;148,5
64174;;Процессор Socket-AM4 AMD Ryzen 7 2700X (YD270XBGM88AF) 4.3/3.7 GHz/8core/4+16Mb/105W oem;;12;;189
65957;;Процессор Socket-AM4 AMD Ryzen 7 3700X (100-000000071) 4.4/3.6 GHz/8core/4+32Mb/65W oem;;12;;315
67126;;Процессор Socket-AM4 AMD Ryzen 7 3700X (100-100000071MPK) 4.4/3.6 GHz/8core/4+32Mb/65W мультипак with Wraith Prism cooler;;36;;320
65958;;Процессор Socket-AM4 AMD Ryzen 7 3800X (100-000000025) 4.5/3.9 GHz/8core/4+32Mb/105W oem;;12;;335
70769;;Процессор Socket-AM4 AMD Ryzen 7 3800XT (100-000000279) 4.7/3.9 GHz/8core/4+32Mb/105W (oem);;36;;390
70622;;Процессор Socket-AM4 AMD Ryzen 7 PRO 4750G (100-000000145) 4.4/3.6 GHz/8core/4+8Mb/65W oem;;36;;295
70419;;Процессор Socket-AM4 AMD Ryzen 7 PRO 4750G (100-100000145MPK) 4.4/3.6 GHz/8core/4+8Mb/65W мультипак with Wraith Stealth cooler;;36;;299
67551;;Процессор Socket-AM4 AMD Ryzen 9 3900 (100-000000070) 4.3/3.1 GHz/12core/6+64Mb/65W oem;;12;;390
70388;;Процессор Socket-AM4 AMD Ryzen 9 3900 (100-100000070MPK) 4.3/3.1 GHz/12core/6+64Mb/65W мультипак + Wraith Spire cooler;;12;;395
65959;;Процессор Socket-AM4 AMD Ryzen 9 3900X (100-000000023) 4.6/3.8 GHz/12core/6+64Mb/105W oem;;12;;440
67719;;Процессор Socket-AM4 AMD Ryzen 9 3900X (100-100000023MPK) 4.6/3.8 GHz/12core/4+64Mb/105W мультипак with Wraith Prism cooler;;36;;448
67270;;Процессор Socket-AM4 AMD Ryzen 9 3950X (100-000000051) 4.7/3.5 GHz/16core/8+64Mb/105W oem;;12;;785
;Socket-TR4/TRX40;;;;;
67694;;Процессор BOX Socket-TRX4 AMD Ryzen Threadripper 3970X (100-100000011WOF) 4.5/3.7 GHz/core 32/64 /16+128Mb/280W (без кулера);;36;;2120
;Охлаждение;;;;;
;Soc-1150/1151/1155/1156/1200;;;;;
70811;;Кулер S-1155/1156 AeroCool BAS-B9 TDP 90W, винты, 95x95x57mm, 3-pin, 2300rpm OEM;;12;;3,5
70812;;Кулер S-1155/1156 AeroCool BAS-B9S TDP 80W, Push-Pin, 95x95x57mm, 3-pin, 2300rpm OEM;;12;;2,3
5201;;Кулер S-1155/1156 CoolerMaster (DP6-8E5SB-PL-GP) (2600RPM, 19dBA, 27.61CFM, Al, 4-pin, 82W) BOX низкопрофильный;;3;;7,19
7894;;Кулер S-1155/1156 Deepcool CK-11508 (DP-ICAS-CK11508) (2200RPM, 25dBA, 40.9CFM, Al, винты, 65W) BOX;;3;;2,8
6443;;Кулер S-1155/1156 Deepcool Theta 15 PWM (DP-ICAS-T15P) (2800RPM, 17.8~36dBA, 50.25CFM, Al, PWM, болты, 95W) BOX;;3;;6
7896;;Кулер S-1155/1156 Deepcool Theta 16 PWM (DP-ICAP-T16P) (2400RPM, 17.8~26.4dBA, 44.25CFM, Al+Cu, 4-pin PWM, 95W) BOX;;3;;8,7
7284;;Кулер S-1155/1156 Deepcool Theta 20 PWM (DP-ICAS-T20P) (2400RPM, 32.5dBA, 42.76CFM, Al, 4-pin, болты, 95W) BOX;;3;;6,6
6444;;Кулер S-1155/1156 Deepcool Theta 21 PWM (DP-ICAP-T21P) (2400RPM, 17.8~26.4dBA, 44.25CFM, Al, PWM, 95W) BOX;;3;;6,5
6449;;Кулер S-1155/1156 Deepcool Theta 31 PWM (DP-ICAS-T31P) (2400RPM, 17.8~32.5dBA, 42.76CFM, Al+Cu, PWM, 95W) BOX;;3;;8,5
6445;;Кулер S-1155/1156 Deepcool Theta 9 PWM (DP-ICAP-T9P) (3200RPM, 17.8~44.6dBA, 57.97CFM, Al, PWM, LOW, 95W) BOX;;3;;5,6
21418;;Кулер S-1155/1156 Intel (BXHTS1155LP) Thermal Solution HTS1155LP (4пин, 1155, 1180-3380 об/мин,Cu+Al+тепловые трубки);;0;;23
7012;;Кулер S-1155/1156 Intel Original (AL+CU, TDP 105W) BOX;;3;;6
7013;;Кулер S-1155/1156 Intel Original (AL, TDP 80W) BOX;;3;;2,5
10826;;Кулер S-1155/1156 Titan (DC-155A915Z/RPW) TDP 65W (1000-2600RPM, 24.8-33dBA, 18.3-47.62CFM, 4-pin PWM ) BOX низкопрофильный;;3;;6,5
;Soc-AM2/AM2+/AM3/AM3+/FM1/FM2/AM4/TR4;;;;;
70364;;Кулер be quiet! Dark Rock Pro TR4 250W TDP (BK023) (4пин, sTRX4 / TR4, 24.3дБ MAX, 1200об/м, Al+Copper ) ;;24;;85
65062;;Кулер S-AM4 AMD Wraith Prism RGB (Al+Cu, Тепловые трубки) ;;3;;12
